Model,Task,Accuracy
ReBatch/Llama-3-8B-dutch,adjunct_island,0.893
ReBatch/Llama-3-8B-dutch,anaphor_gender_agreement,0.992
ReBatch/Llama-3-8B-dutch,anaphor_number_agreement,0.997
ReBatch/Llama-3-8B-dutch,animate_subject_passive,0.742
ReBatch/Llama-3-8B-dutch,animate_subject_trans,0.801
ReBatch/Llama-3-8B-dutch,causative,0.784
ReBatch/Llama-3-8B-dutch,complex_NP_island,0.678
ReBatch/Llama-3-8B-dutch,coordinate_structure_constraint_complex_left_branch,0.948
ReBatch/Llama-3-8B-dutch,coordinate_structure_constraint_object_extraction,0.857
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_1,0.96
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_2,0.992
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_irregular_1,0.832
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_irregular_2,0.968
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_with_adj_2,0.965
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_with_adj_irregular_1,0.843
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_with_adj_irregular_2,0.954
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_with_adjective_1,0.927
ReBatch/Llama-3-8B-dutch,distractor_agreement_relational_noun,0.861
ReBatch/Llama-3-8B-dutch,distractor_agreement_relative_clause,0.762
ReBatch/Llama-3-8B-dutch,drop_argument,0.544
ReBatch/Llama-3-8B-dutch,ellipsis_n_bar_1,0.821
ReBatch/Llama-3-8B-dutch,ellipsis_n_bar_2,0.957
ReBatch/Llama-3-8B-dutch,existential_there_object_raising,0.755
ReBatch/Llama-3-8B-dutch,existential_there_quantifiers_1,0.987
ReBatch/Llama-3-8B-dutch,existential_there_quantifiers_2,0.891
ReBatch/Llama-3-8B-dutch,existential_there_subject_raising,0.868
ReBatch/Llama-3-8B-dutch,expletive_it_object_raising,0.83
ReBatch/Llama-3-8B-dutch,inchoative,0.738
ReBatch/Llama-3-8B-dutch,intransitive,0.671
ReBatch/Llama-3-8B-dutch,irregular_past_participle_adjectives,0.907
ReBatch/Llama-3-8B-dutch,irregular_past_participle_verbs,0.794
ReBatch/Llama-3-8B-dutch,irregular_plural_subject_verb_agreement_1,0.88
ReBatch/Llama-3-8B-dutch,irregular_plural_subject_verb_agreement_2,0.863
ReBatch/Llama-3-8B-dutch,left_branch_island_echo_question,0.762
ReBatch/Llama-3-8B-dutch,left_branch_island_simple_question,0.988
ReBatch/Llama-3-8B-dutch,matrix_question_npi_licensor_present,0.745
ReBatch/Llama-3-8B-dutch,npi_present_1,0.641
ReBatch/Llama-3-8B-dutch,npi_present_2,0.731
ReBatch/Llama-3-8B-dutch,only_npi_licensor_present,0.966
ReBatch/Llama-3-8B-dutch,only_npi_scope,0.768
ReBatch/Llama-3-8B-dutch,passive_1,0.783
ReBatch/Llama-3-8B-dutch,passive_2,0.77
ReBatch/Llama-3-8B-dutch,principle_A_c_command,0.822
ReBatch/Llama-3-8B-dutch,principle_A_case_1,1.0
ReBatch/Llama-3-8B-dutch,principle_A_case_2,0.909
ReBatch/Llama-3-8B-dutch,principle_A_domain_1,0.993
ReBatch/Llama-3-8B-dutch,principle_A_domain_2,0.894
ReBatch/Llama-3-8B-dutch,principle_A_domain_3,0.687
ReBatch/Llama-3-8B-dutch,principle_A_reconstruction,0.439
ReBatch/Llama-3-8B-dutch,regular_plural_subject_verb_agreement_1,0.924
ReBatch/Llama-3-8B-dutch,regular_plural_subject_verb_agreement_2,0.956
ReBatch/Llama-3-8B-dutch,sentential_negation_npi_licensor_present,0.995
ReBatch/Llama-3-8B-dutch,sentential_negation_npi_scope,0.754
ReBatch/Llama-3-8B-dutch,sentential_subject_island,0.509
ReBatch/Llama-3-8B-dutch,superlative_quantifiers_1,0.908
ReBatch/Llama-3-8B-dutch,superlative_quantifiers_2,0.836
ReBatch/Llama-3-8B-dutch,tough_vs_raising_1,0.759
ReBatch/Llama-3-8B-dutch,tough_vs_raising_2,0.833
ReBatch/Llama-3-8B-dutch,transitive,0.792
ReBatch/Llama-3-8B-dutch,wh_island,0.816
ReBatch/Llama-3-8B-dutch,wh_questions_object_gap,0.831
ReBatch/Llama-3-8B-dutch,wh_questions_subject_gap,0.921
ReBatch/Llama-3-8B-dutch,wh_questions_subject_gap_long_distance,0.881
ReBatch/Llama-3-8B-dutch,wh_vs_that_no_gap,0.979
ReBatch/Llama-3-8B-dutch,wh_vs_that_no_gap_long_distance,0.966
ReBatch/Llama-3-8B-dutch,wh_vs_that_with_gap,0.439
ReBatch/Llama-3-8B-dutch,wh_vs_that_with_gap_long_distance,0.368
