Model,Task,Accuracy
ReBatch/Llama-3-8B-dutch,adjunct_island,0.895
ReBatch/Llama-3-8B-dutch,anaphor_gender_agreement,0.992
ReBatch/Llama-3-8B-dutch,anaphor_number_agreement,0.997
ReBatch/Llama-3-8B-dutch,animate_subject_passive,0.743
ReBatch/Llama-3-8B-dutch,animate_subject_trans,0.8
ReBatch/Llama-3-8B-dutch,causative,0.785
ReBatch/Llama-3-8B-dutch,complex_NP_island,0.68
ReBatch/Llama-3-8B-dutch,coordinate_structure_constraint_complex_left_branch,0.946
ReBatch/Llama-3-8B-dutch,coordinate_structure_constraint_object_extraction,0.857
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_1,0.958
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_2,0.991
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_irregular_1,0.832
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_irregular_2,0.968
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_with_adj_2,0.965
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_with_adj_irregular_1,0.845
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_with_adj_irregular_2,0.953
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_with_adjective_1,0.928
ReBatch/Llama-3-8B-dutch,distractor_agreement_relational_noun,0.862
ReBatch/Llama-3-8B-dutch,distractor_agreement_relative_clause,0.763
ReBatch/Llama-3-8B-dutch,drop_argument,0.545
ReBatch/Llama-3-8B-dutch,ellipsis_n_bar_1,0.823
ReBatch/Llama-3-8B-dutch,ellipsis_n_bar_2,0.958
ReBatch/Llama-3-8B-dutch,existential_there_object_raising,0.755
ReBatch/Llama-3-8B-dutch,existential_there_quantifiers_1,0.988
ReBatch/Llama-3-8B-dutch,existential_there_quantifiers_2,0.892
ReBatch/Llama-3-8B-dutch,existential_there_subject_raising,0.866
ReBatch/Llama-3-8B-dutch,expletive_it_object_raising,0.831
ReBatch/Llama-3-8B-dutch,inchoative,0.738
ReBatch/Llama-3-8B-dutch,intransitive,0.672
ReBatch/Llama-3-8B-dutch,irregular_past_participle_adjectives,0.902
ReBatch/Llama-3-8B-dutch,irregular_past_participle_verbs,0.794
ReBatch/Llama-3-8B-dutch,irregular_plural_subject_verb_agreement_1,0.88
ReBatch/Llama-3-8B-dutch,irregular_plural_subject_verb_agreement_2,0.864
ReBatch/Llama-3-8B-dutch,left_branch_island_echo_question,0.763
ReBatch/Llama-3-8B-dutch,left_branch_island_simple_question,0.987
ReBatch/Llama-3-8B-dutch,matrix_question_npi_licensor_present,0.743
ReBatch/Llama-3-8B-dutch,npi_present_1,0.643
ReBatch/Llama-3-8B-dutch,npi_present_2,0.731
ReBatch/Llama-3-8B-dutch,only_npi_licensor_present,0.963
ReBatch/Llama-3-8B-dutch,only_npi_scope,0.769
ReBatch/Llama-3-8B-dutch,passive_1,0.785
ReBatch/Llama-3-8B-dutch,passive_2,0.77
ReBatch/Llama-3-8B-dutch,principle_A_c_command,0.82
ReBatch/Llama-3-8B-dutch,principle_A_case_1,1.0
ReBatch/Llama-3-8B-dutch,principle_A_case_2,0.908
ReBatch/Llama-3-8B-dutch,principle_A_domain_1,0.993
ReBatch/Llama-3-8B-dutch,principle_A_domain_2,0.894
ReBatch/Llama-3-8B-dutch,principle_A_domain_3,0.686
ReBatch/Llama-3-8B-dutch,principle_A_reconstruction,0.439
ReBatch/Llama-3-8B-dutch,regular_plural_subject_verb_agreement_1,0.924
ReBatch/Llama-3-8B-dutch,regular_plural_subject_verb_agreement_2,0.956
ReBatch/Llama-3-8B-dutch,sentential_negation_npi_licensor_present,0.995
ReBatch/Llama-3-8B-dutch,sentential_negation_npi_scope,0.76
ReBatch/Llama-3-8B-dutch,sentential_subject_island,0.51
ReBatch/Llama-3-8B-dutch,superlative_quantifiers_1,0.91
ReBatch/Llama-3-8B-dutch,superlative_quantifiers_2,0.836
ReBatch/Llama-3-8B-dutch,tough_vs_raising_1,0.764
ReBatch/Llama-3-8B-dutch,tough_vs_raising_2,0.832
ReBatch/Llama-3-8B-dutch,transitive,0.791
ReBatch/Llama-3-8B-dutch,wh_island,0.814
ReBatch/Llama-3-8B-dutch,wh_questions_object_gap,0.832
ReBatch/Llama-3-8B-dutch,wh_questions_subject_gap,0.921
ReBatch/Llama-3-8B-dutch,wh_questions_subject_gap_long_distance,0.885
ReBatch/Llama-3-8B-dutch,wh_vs_that_no_gap,0.981
ReBatch/Llama-3-8B-dutch,wh_vs_that_no_gap_long_distance,0.968
ReBatch/Llama-3-8B-dutch,wh_vs_that_with_gap,0.437
ReBatch/Llama-3-8B-dutch,wh_vs_that_with_gap_long_distance,0.365
