Model,Task,Accuracy
meta-llama/Meta-Llama-3-8B,adjunct_island,0.178
meta-llama/Meta-Llama-3-8B,anaphor_gender_agreement,0.547
meta-llama/Meta-Llama-3-8B,anaphor_number_agreement,0.645
meta-llama/Meta-Llama-3-8B,animate_subject_passive,0.632
meta-llama/Meta-Llama-3-8B,animate_subject_trans,0.416
meta-llama/Meta-Llama-3-8B,causative,0.388
meta-llama/Meta-Llama-3-8B,complex_NP_island,0.474
meta-llama/Meta-Llama-3-8B,coordinate_structure_constraint_complex_left_branch,0.215
meta-llama/Meta-Llama-3-8B,coordinate_structure_constraint_object_extraction,0.106
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_1,0.405
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_2,0.454
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_irregular_1,0.437
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_irregular_2,0.46
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_with_adj_2,0.473
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_with_adj_irregular_1,0.422
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_with_adj_irregular_2,0.48
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_with_adjective_1,0.479
meta-llama/Meta-Llama-3-8B,distractor_agreement_relational_noun,0.205
meta-llama/Meta-Llama-3-8B,distractor_agreement_relative_clause,0.354
meta-llama/Meta-Llama-3-8B,drop_argument,0.698
meta-llama/Meta-Llama-3-8B,ellipsis_n_bar_1,0.573
meta-llama/Meta-Llama-3-8B,ellipsis_n_bar_2,0.335
meta-llama/Meta-Llama-3-8B,existential_there_object_raising,0.334
meta-llama/Meta-Llama-3-8B,existential_there_quantifiers_1,0.074
meta-llama/Meta-Llama-3-8B,existential_there_quantifiers_2,0.806
meta-llama/Meta-Llama-3-8B,existential_there_subject_raising,0.214
meta-llama/Meta-Llama-3-8B,expletive_it_object_raising,0.45
meta-llama/Meta-Llama-3-8B,inchoative,0.332
meta-llama/Meta-Llama-3-8B,intransitive,0.542
meta-llama/Meta-Llama-3-8B,irregular_past_participle_adjectives,0.047
meta-llama/Meta-Llama-3-8B,irregular_past_participle_verbs,0.136
meta-llama/Meta-Llama-3-8B,irregular_plural_subject_verb_agreement_1,0.165
meta-llama/Meta-Llama-3-8B,irregular_plural_subject_verb_agreement_2,0.205
meta-llama/Meta-Llama-3-8B,left_branch_island_echo_question,0.21
meta-llama/Meta-Llama-3-8B,left_branch_island_simple_question,0.254
meta-llama/Meta-Llama-3-8B,matrix_question_npi_licensor_present,0.444
meta-llama/Meta-Llama-3-8B,npi_present_1,0.197
meta-llama/Meta-Llama-3-8B,npi_present_2,0.051
meta-llama/Meta-Llama-3-8B,only_npi_licensor_present,0.294
meta-llama/Meta-Llama-3-8B,only_npi_scope,0.608
meta-llama/Meta-Llama-3-8B,passive_1,0.431
meta-llama/Meta-Llama-3-8B,passive_2,0.558
meta-llama/Meta-Llama-3-8B,principle_A_c_command,0.849
meta-llama/Meta-Llama-3-8B,principle_A_case_1,0.006
meta-llama/Meta-Llama-3-8B,principle_A_case_2,0.178
meta-llama/Meta-Llama-3-8B,principle_A_domain_1,0.569
meta-llama/Meta-Llama-3-8B,principle_A_domain_2,0.054
meta-llama/Meta-Llama-3-8B,principle_A_domain_3,0.359
meta-llama/Meta-Llama-3-8B,principle_A_reconstruction,0.343
meta-llama/Meta-Llama-3-8B,regular_plural_subject_verb_agreement_1,0.12
meta-llama/Meta-Llama-3-8B,regular_plural_subject_verb_agreement_2,0.19
meta-llama/Meta-Llama-3-8B,sentential_negation_npi_licensor_present,0.321
meta-llama/Meta-Llama-3-8B,sentential_negation_npi_scope,0.249
meta-llama/Meta-Llama-3-8B,sentential_subject_island,0.37
meta-llama/Meta-Llama-3-8B,superlative_quantifiers_1,0.447
meta-llama/Meta-Llama-3-8B,superlative_quantifiers_2,0.246
meta-llama/Meta-Llama-3-8B,tough_vs_raising_1,0.432
meta-llama/Meta-Llama-3-8B,tough_vs_raising_2,0.291
meta-llama/Meta-Llama-3-8B,transitive,0.481
meta-llama/Meta-Llama-3-8B,wh_island,0.253
meta-llama/Meta-Llama-3-8B,wh_questions_object_gap,0.52
meta-llama/Meta-Llama-3-8B,wh_questions_subject_gap,0.373
meta-llama/Meta-Llama-3-8B,wh_questions_subject_gap_long_distance,0.462
meta-llama/Meta-Llama-3-8B,wh_vs_that_no_gap,0.445
meta-llama/Meta-Llama-3-8B,wh_vs_that_no_gap_long_distance,0.386
meta-llama/Meta-Llama-3-8B,wh_vs_that_with_gap,0.392
meta-llama/Meta-Llama-3-8B,wh_vs_that_with_gap_long_distance,0.511
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.175
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.738
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.852
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.63
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.385
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.419
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.444
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.266
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.115
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.471
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.463
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.457
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.489
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.474
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.478
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.506
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.523
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.259
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.377
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.729
