Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.882
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.983
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.993
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.733
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.756
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.733
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.59
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.769
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.828
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.951
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.976
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.814
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.944
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.934
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.824
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.927
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.924
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.768
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.687
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.507
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.785
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.953
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.793
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.957
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.16
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.867
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.791
