Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.802
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.993
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.995
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.749
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.756
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.726
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.555
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.725
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.797
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.96
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.97
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.803
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.932
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.941
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.823
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.908
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.933
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.83
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.735
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.411
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.72
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.954
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.764
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.976
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.222
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.808
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.709
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.579
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.483
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.983
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.897
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.872
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.815
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.44
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.819
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.407
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.485
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.498
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.78
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.639
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.736
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.69
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.644
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.845
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.714
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.593
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.316
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.897
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.867
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.571
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.5
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.906
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.845
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.564
