Model,Task,Accuracy
meta-llama/Meta-Llama-3-8B,adjunct_island,0.873
meta-llama/Meta-Llama-3-8B,anaphor_gender_agreement,0.978
meta-llama/Meta-Llama-3-8B,anaphor_number_agreement,0.996
meta-llama/Meta-Llama-3-8B,animate_subject_passive,0.733
meta-llama/Meta-Llama-3-8B,animate_subject_trans,0.771
meta-llama/Meta-Llama-3-8B,causative,0.747
meta-llama/Meta-Llama-3-8B,complex_NP_island,0.584
meta-llama/Meta-Llama-3-8B,coordinate_structure_constraint_complex_left_branch,0.722
meta-llama/Meta-Llama-3-8B,coordinate_structure_constraint_object_extraction,0.852
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_1,0.949
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_2,0.969
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_irregular_1,0.816
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_irregular_2,0.936
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_with_adj_2,0.927
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_with_adj_irregular_1,0.817
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_with_adj_irregular_2,0.898
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_with_adjective_1,0.918
meta-llama/Meta-Llama-3-8B,distractor_agreement_relational_noun,0.754
meta-llama/Meta-Llama-3-8B,distractor_agreement_relative_clause,0.636
meta-llama/Meta-Llama-3-8B,drop_argument,0.553
meta-llama/Meta-Llama-3-8B,ellipsis_n_bar_1,0.767
meta-llama/Meta-Llama-3-8B,ellipsis_n_bar_2,0.951
meta-llama/Meta-Llama-3-8B,existential_there_object_raising,0.773
meta-llama/Meta-Llama-3-8B,existential_there_quantifiers_1,0.969
meta-llama/Meta-Llama-3-8B,existential_there_quantifiers_2,0.294
meta-llama/Meta-Llama-3-8B,existential_there_subject_raising,0.856
meta-llama/Meta-Llama-3-8B,expletive_it_object_raising,0.79
meta-llama/Meta-Llama-3-8B,inchoative,0.726
meta-llama/Meta-Llama-3-8B,intransitive,0.663
meta-llama/Meta-Llama-3-8B,irregular_past_participle_adjectives,0.964
meta-llama/Meta-Llama-3-8B,irregular_past_participle_verbs,0.833
meta-llama/Meta-Llama-3-8B,irregular_plural_subject_verb_agreement_1,0.881
meta-llama/Meta-Llama-3-8B,irregular_plural_subject_verb_agreement_2,0.839
meta-llama/Meta-Llama-3-8B,left_branch_island_echo_question,0.637
meta-llama/Meta-Llama-3-8B,left_branch_island_simple_question,0.865
meta-llama/Meta-Llama-3-8B,matrix_question_npi_licensor_present,0.474
meta-llama/Meta-Llama-3-8B,npi_present_1,0.558
meta-llama/Meta-Llama-3-8B,npi_present_2,0.728
meta-llama/Meta-Llama-3-8B,only_npi_licensor_present,0.883
meta-llama/Meta-Llama-3-8B,only_npi_scope,0.562
meta-llama/Meta-Llama-3-8B,passive_1,0.765
meta-llama/Meta-Llama-3-8B,passive_2,0.754
meta-llama/Meta-Llama-3-8B,principle_A_c_command,0.792
meta-llama/Meta-Llama-3-8B,principle_A_case_1,1.0
meta-llama/Meta-Llama-3-8B,principle_A_case_2,0.891
meta-llama/Meta-Llama-3-8B,principle_A_domain_1,0.993
