Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.735
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.746
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.903
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.56
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.614
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.642
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.549
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.503
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.673
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.78
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.697
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.637
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.683
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.648
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.726
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.652
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.766
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.505
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.573
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.347
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.636
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.744
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.533
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.871
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.276
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.73
