Model,Task,Accuracy
beomi/Llama-3-KoEn-8B,adjunct_island,0.865
beomi/Llama-3-KoEn-8B,anaphor_gender_agreement,0.992
beomi/Llama-3-KoEn-8B,anaphor_number_agreement,0.991
beomi/Llama-3-KoEn-8B,animate_subject_passive,0.721
beomi/Llama-3-KoEn-8B,animate_subject_trans,0.764
beomi/Llama-3-KoEn-8B,causative,0.742
beomi/Llama-3-KoEn-8B,complex_NP_island,0.527
beomi/Llama-3-KoEn-8B,coordinate_structure_constraint_complex_left_branch,0.689
beomi/Llama-3-KoEn-8B,coordinate_structure_constraint_object_extraction,0.895
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_1,0.963
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_2,0.978
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_irregular_1,0.849
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_irregular_2,0.932
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_2,0.948
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_irregular_1,0.847
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_irregular_2,0.88
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adjective_1,0.931
beomi/Llama-3-KoEn-8B,distractor_agreement_relational_noun,0.826
beomi/Llama-3-KoEn-8B,distractor_agreement_relative_clause,0.779
beomi/Llama-3-KoEn-8B,drop_argument,0.546
beomi/Llama-3-KoEn-8B,ellipsis_n_bar_1,0.716
beomi/Llama-3-KoEn-8B,ellipsis_n_bar_2,0.942
beomi/Llama-3-KoEn-8B,existential_there_object_raising,0.838
beomi/Llama-3-KoEn-8B,existential_there_quantifiers_1,0.949
beomi/Llama-3-KoEn-8B,existential_there_quantifiers_2,0.225
beomi/Llama-3-KoEn-8B,existential_there_subject_raising,0.852
beomi/Llama-3-KoEn-8B,expletive_it_object_raising,0.806
beomi/Llama-3-KoEn-8B,inchoative,0.749
beomi/Llama-3-KoEn-8B,intransitive,0.668
beomi/Llama-3-KoEn-8B,irregular_past_participle_adjectives,0.949
beomi/Llama-3-KoEn-8B,irregular_past_participle_verbs,0.908
beomi/Llama-3-KoEn-8B,irregular_plural_subject_verb_agreement_1,0.87
beomi/Llama-3-KoEn-8B,irregular_plural_subject_verb_agreement_2,0.843
beomi/Llama-3-KoEn-8B,left_branch_island_echo_question,0.541
beomi/Llama-3-KoEn-8B,left_branch_island_simple_question,0.768
beomi/Llama-3-KoEn-8B,matrix_question_npi_licensor_present,0.414
beomi/Llama-3-KoEn-8B,npi_present_1,0.566
beomi/Llama-3-KoEn-8B,npi_present_2,0.673
beomi/Llama-3-KoEn-8B,only_npi_licensor_present,0.804
beomi/Llama-3-KoEn-8B,only_npi_scope,0.619
beomi/Llama-3-KoEn-8B,passive_1,0.774
beomi/Llama-3-KoEn-8B,passive_2,0.762
beomi/Llama-3-KoEn-8B,principle_A_c_command,0.781
beomi/Llama-3-KoEn-8B,principle_A_case_1,1.0
beomi/Llama-3-KoEn-8B,principle_A_case_2,0.915
beomi/Llama-3-KoEn-8B,principle_A_domain_1,0.984
beomi/Llama-3-KoEn-8B,principle_A_domain_2,0.857
beomi/Llama-3-KoEn-8B,principle_A_domain_3,0.665
beomi/Llama-3-KoEn-8B,principle_A_reconstruction,0.408
beomi/Llama-3-KoEn-8B,regular_plural_subject_verb_agreement_1,0.934
beomi/Llama-3-KoEn-8B,regular_plural_subject_verb_agreement_2,0.924
beomi/Llama-3-KoEn-8B,sentential_negation_npi_licensor_present,0.978
beomi/Llama-3-KoEn-8B,sentential_negation_npi_scope,0.722
beomi/Llama-3-KoEn-8B,sentential_subject_island,0.564
beomi/Llama-3-KoEn-8B,superlative_quantifiers_1,0.674
beomi/Llama-3-KoEn-8B,superlative_quantifiers_2,0.917
beomi/Llama-3-KoEn-8B,tough_vs_raising_1,0.737
beomi/Llama-3-KoEn-8B,tough_vs_raising_2,0.739
beomi/Llama-3-KoEn-8B,transitive,0.767
beomi/Llama-3-KoEn-8B,wh_island,0.667
beomi/Llama-3-KoEn-8B,wh_questions_object_gap,0.685
beomi/Llama-3-KoEn-8B,wh_questions_subject_gap,0.862
beomi/Llama-3-KoEn-8B,wh_questions_subject_gap_long_distance,0.854
beomi/Llama-3-KoEn-8B,wh_vs_that_no_gap,0.929
beomi/Llama-3-KoEn-8B,wh_vs_that_no_gap_long_distance,0.884
beomi/Llama-3-KoEn-8B,wh_vs_that_with_gap,0.496
beomi/Llama-3-KoEn-8B,wh_vs_that_with_gap_long_distance,0.421
