Model,Task,Accuracy
beomi/Llama-3-KoEn-8B,adjunct_island,0.871
beomi/Llama-3-KoEn-8B,anaphor_gender_agreement,0.983
beomi/Llama-3-KoEn-8B,anaphor_number_agreement,0.991
beomi/Llama-3-KoEn-8B,animate_subject_passive,0.649
beomi/Llama-3-KoEn-8B,animate_subject_trans,0.773
beomi/Llama-3-KoEn-8B,causative,0.74
beomi/Llama-3-KoEn-8B,complex_NP_island,0.613
beomi/Llama-3-KoEn-8B,coordinate_structure_constraint_complex_left_branch,0.703
beomi/Llama-3-KoEn-8B,coordinate_structure_constraint_object_extraction,0.792
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_1,0.895
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_2,0.848
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_irregular_1,0.733
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_irregular_2,0.799
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_2,0.77
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_irregular_1,0.773
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_irregular_2,0.77
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adjective_1,0.837
beomi/Llama-3-KoEn-8B,distractor_agreement_relational_noun,0.73
beomi/Llama-3-KoEn-8B,distractor_agreement_relative_clause,0.613
beomi/Llama-3-KoEn-8B,drop_argument,0.488
beomi/Llama-3-KoEn-8B,ellipsis_n_bar_1,0.825
beomi/Llama-3-KoEn-8B,ellipsis_n_bar_2,0.882
beomi/Llama-3-KoEn-8B,existential_there_object_raising,0.661
beomi/Llama-3-KoEn-8B,existential_there_quantifiers_1,0.994
beomi/Llama-3-KoEn-8B,existential_there_quantifiers_2,0.3
beomi/Llama-3-KoEn-8B,existential_there_subject_raising,0.839
beomi/Llama-3-KoEn-8B,expletive_it_object_raising,0.7
beomi/Llama-3-KoEn-8B,inchoative,0.687
beomi/Llama-3-KoEn-8B,intransitive,0.615
beomi/Llama-3-KoEn-8B,irregular_past_participle_adjectives,0.837
beomi/Llama-3-KoEn-8B,irregular_past_participle_verbs,0.815
beomi/Llama-3-KoEn-8B,irregular_plural_subject_verb_agreement_1,0.838
beomi/Llama-3-KoEn-8B,irregular_plural_subject_verb_agreement_2,0.761
beomi/Llama-3-KoEn-8B,left_branch_island_echo_question,0.59
beomi/Llama-3-KoEn-8B,left_branch_island_simple_question,0.832
beomi/Llama-3-KoEn-8B,matrix_question_npi_licensor_present,0.471
beomi/Llama-3-KoEn-8B,npi_present_1,0.352
beomi/Llama-3-KoEn-8B,npi_present_2,0.545
beomi/Llama-3-KoEn-8B,only_npi_licensor_present,0.812
beomi/Llama-3-KoEn-8B,only_npi_scope,0.458
beomi/Llama-3-KoEn-8B,passive_1,0.747
beomi/Llama-3-KoEn-8B,passive_2,0.638
beomi/Llama-3-KoEn-8B,principle_A_c_command,0.789
beomi/Llama-3-KoEn-8B,principle_A_case_1,0.999
beomi/Llama-3-KoEn-8B,principle_A_case_2,0.831
beomi/Llama-3-KoEn-8B,principle_A_domain_1,0.983
beomi/Llama-3-KoEn-8B,principle_A_domain_2,0.727
beomi/Llama-3-KoEn-8B,principle_A_domain_3,0.637
beomi/Llama-3-KoEn-8B,principle_A_reconstruction,0.633
beomi/Llama-3-KoEn-8B,regular_plural_subject_verb_agreement_1,0.871
beomi/Llama-3-KoEn-8B,regular_plural_subject_verb_agreement_2,0.821
beomi/Llama-3-KoEn-8B,sentential_negation_npi_licensor_present,0.983
beomi/Llama-3-KoEn-8B,sentential_negation_npi_scope,0.713
beomi/Llama-3-KoEn-8B,sentential_subject_island,0.532
beomi/Llama-3-KoEn-8B,superlative_quantifiers_1,0.88
beomi/Llama-3-KoEn-8B,superlative_quantifiers_2,0.791
beomi/Llama-3-KoEn-8B,tough_vs_raising_1,0.756
beomi/Llama-3-KoEn-8B,tough_vs_raising_2,0.696
beomi/Llama-3-KoEn-8B,transitive,0.69
beomi/Llama-3-KoEn-8B,wh_island,0.716
beomi/Llama-3-KoEn-8B,wh_questions_object_gap,0.836
beomi/Llama-3-KoEn-8B,wh_questions_subject_gap,0.89
beomi/Llama-3-KoEn-8B,wh_questions_subject_gap_long_distance,0.829
beomi/Llama-3-KoEn-8B,wh_vs_that_no_gap,0.898
beomi/Llama-3-KoEn-8B,wh_vs_that_no_gap_long_distance,0.878
beomi/Llama-3-KoEn-8B,wh_vs_that_with_gap,0.378
beomi/Llama-3-KoEn-8B,wh_vs_that_with_gap_long_distance,0.351
