Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.827
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.972
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.974
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.656
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.74
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.708
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.667
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.72
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.771
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.912
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.887
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.736
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.827
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.835
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.77
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.789
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.876
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.712
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.646
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.472
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.827
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.812
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.688
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.974
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.666
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.788
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.609
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.677
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.587
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.764
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.722
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.848
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.764
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.685
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.831
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.455
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.456
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.593
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.602
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.391
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.633
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.632
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.664
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.84
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.989
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.644
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.583
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.655
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.879
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.825
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.982
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.653
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.452
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.77
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.789
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.711
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.791
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.66
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.732
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.82
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.858
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.824
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.911
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.909
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.325
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.286
