Model,Task,Accuracy
beomi/Llama-3-KoEn-8B,adjunct_island,0.907
beomi/Llama-3-KoEn-8B,anaphor_gender_agreement,0.997
beomi/Llama-3-KoEn-8B,anaphor_number_agreement,0.997
beomi/Llama-3-KoEn-8B,animate_subject_passive,0.736
beomi/Llama-3-KoEn-8B,animate_subject_trans,0.781
beomi/Llama-3-KoEn-8B,causative,0.778
beomi/Llama-3-KoEn-8B,complex_NP_island,0.588
beomi/Llama-3-KoEn-8B,coordinate_structure_constraint_complex_left_branch,0.729
beomi/Llama-3-KoEn-8B,coordinate_structure_constraint_object_extraction,0.884
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_1,0.961
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_2,0.989
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_irregular_1,0.848
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_irregular_2,0.946
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_2,0.959
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_irregular_1,0.839
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_irregular_2,0.916
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adjective_1,0.929
beomi/Llama-3-KoEn-8B,distractor_agreement_relational_noun,0.819
beomi/Llama-3-KoEn-8B,distractor_agreement_relative_clause,0.698
beomi/Llama-3-KoEn-8B,drop_argument,0.563
beomi/Llama-3-KoEn-8B,ellipsis_n_bar_1,0.814
beomi/Llama-3-KoEn-8B,ellipsis_n_bar_2,0.953
beomi/Llama-3-KoEn-8B,existential_there_object_raising,0.771
beomi/Llama-3-KoEn-8B,existential_there_quantifiers_1,0.977
beomi/Llama-3-KoEn-8B,existential_there_quantifiers_2,0.196
beomi/Llama-3-KoEn-8B,existential_there_subject_raising,0.889
beomi/Llama-3-KoEn-8B,expletive_it_object_raising,0.788
beomi/Llama-3-KoEn-8B,inchoative,0.753
beomi/Llama-3-KoEn-8B,intransitive,0.684
beomi/Llama-3-KoEn-8B,irregular_past_participle_adjectives,0.974
beomi/Llama-3-KoEn-8B,irregular_past_participle_verbs,0.914
beomi/Llama-3-KoEn-8B,irregular_plural_subject_verb_agreement_1,0.892
beomi/Llama-3-KoEn-8B,irregular_plural_subject_verb_agreement_2,0.841
beomi/Llama-3-KoEn-8B,left_branch_island_echo_question,0.603
beomi/Llama-3-KoEn-8B,left_branch_island_simple_question,0.871
beomi/Llama-3-KoEn-8B,matrix_question_npi_licensor_present,0.444
beomi/Llama-3-KoEn-8B,npi_present_1,0.552
beomi/Llama-3-KoEn-8B,npi_present_2,0.67
beomi/Llama-3-KoEn-8B,only_npi_licensor_present,0.928
beomi/Llama-3-KoEn-8B,only_npi_scope,0.628
beomi/Llama-3-KoEn-8B,passive_1,0.802
beomi/Llama-3-KoEn-8B,passive_2,0.772
beomi/Llama-3-KoEn-8B,principle_A_c_command,0.788
beomi/Llama-3-KoEn-8B,principle_A_case_1,1.0
beomi/Llama-3-KoEn-8B,principle_A_case_2,0.882
beomi/Llama-3-KoEn-8B,principle_A_domain_1,0.997
beomi/Llama-3-KoEn-8B,principle_A_domain_2,0.855
beomi/Llama-3-KoEn-8B,principle_A_domain_3,0.672
beomi/Llama-3-KoEn-8B,principle_A_reconstruction,0.537
beomi/Llama-3-KoEn-8B,regular_plural_subject_verb_agreement_1,0.933
beomi/Llama-3-KoEn-8B,regular_plural_subject_verb_agreement_2,0.919
beomi/Llama-3-KoEn-8B,sentential_negation_npi_licensor_present,0.998
beomi/Llama-3-KoEn-8B,sentential_negation_npi_scope,0.777
beomi/Llama-3-KoEn-8B,sentential_subject_island,0.412
beomi/Llama-3-KoEn-8B,superlative_quantifiers_1,0.776
beomi/Llama-3-KoEn-8B,superlative_quantifiers_2,0.868
beomi/Llama-3-KoEn-8B,tough_vs_raising_1,0.776
beomi/Llama-3-KoEn-8B,tough_vs_raising_2,0.789
beomi/Llama-3-KoEn-8B,transitive,0.785
beomi/Llama-3-KoEn-8B,wh_island,0.735
beomi/Llama-3-KoEn-8B,wh_questions_object_gap,0.834
beomi/Llama-3-KoEn-8B,wh_questions_subject_gap,0.93
beomi/Llama-3-KoEn-8B,wh_questions_subject_gap_long_distance,0.891
beomi/Llama-3-KoEn-8B,wh_vs_that_no_gap,0.97
beomi/Llama-3-KoEn-8B,wh_vs_that_no_gap_long_distance,0.951
beomi/Llama-3-KoEn-8B,wh_vs_that_with_gap,0.439
beomi/Llama-3-KoEn-8B,wh_vs_that_with_gap_long_distance,0.388
