Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.874
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.983
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.993
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.728
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.758
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.72
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.561
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.749
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.836
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.949
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.973
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.817
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.942
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.935
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.822
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.918
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.922
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.761
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.675
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.508
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.779
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.952
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.784
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.958
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.174
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.866
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.798
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.705
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.621
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.981
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.858
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.886
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.832
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.645
