Model,Task,Accuracy
beomi/Llama-3-KoEn-8B,adjunct_island,0.915
beomi/Llama-3-KoEn-8B,anaphor_gender_agreement,0.998
beomi/Llama-3-KoEn-8B,anaphor_number_agreement,0.998
beomi/Llama-3-KoEn-8B,animate_subject_passive,0.73
beomi/Llama-3-KoEn-8B,animate_subject_trans,0.784
beomi/Llama-3-KoEn-8B,causative,0.783
beomi/Llama-3-KoEn-8B,complex_NP_island,0.577
beomi/Llama-3-KoEn-8B,coordinate_structure_constraint_complex_left_branch,0.713
beomi/Llama-3-KoEn-8B,coordinate_structure_constraint_object_extraction,0.873
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_1,0.96
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_2,0.987
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_irregular_1,0.849
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_irregular_2,0.943
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_2,0.959
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_irregular_1,0.849
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_irregular_2,0.924
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adjective_1,0.932
beomi/Llama-3-KoEn-8B,distractor_agreement_relational_noun,0.826
beomi/Llama-3-KoEn-8B,distractor_agreement_relative_clause,0.712
beomi/Llama-3-KoEn-8B,drop_argument,0.567
beomi/Llama-3-KoEn-8B,ellipsis_n_bar_1,0.8
beomi/Llama-3-KoEn-8B,ellipsis_n_bar_2,0.953
beomi/Llama-3-KoEn-8B,existential_there_object_raising,0.78
beomi/Llama-3-KoEn-8B,existential_there_quantifiers_1,0.972
beomi/Llama-3-KoEn-8B,existential_there_quantifiers_2,0.199
beomi/Llama-3-KoEn-8B,existential_there_subject_raising,0.89
beomi/Llama-3-KoEn-8B,expletive_it_object_raising,0.793
beomi/Llama-3-KoEn-8B,inchoative,0.754
beomi/Llama-3-KoEn-8B,intransitive,0.684
beomi/Llama-3-KoEn-8B,irregular_past_participle_adjectives,0.972
beomi/Llama-3-KoEn-8B,irregular_past_participle_verbs,0.911
beomi/Llama-3-KoEn-8B,irregular_plural_subject_verb_agreement_1,0.889
beomi/Llama-3-KoEn-8B,irregular_plural_subject_verb_agreement_2,0.84
beomi/Llama-3-KoEn-8B,left_branch_island_echo_question,0.612
beomi/Llama-3-KoEn-8B,left_branch_island_simple_question,0.86
beomi/Llama-3-KoEn-8B,matrix_question_npi_licensor_present,0.447
beomi/Llama-3-KoEn-8B,npi_present_1,0.556
beomi/Llama-3-KoEn-8B,npi_present_2,0.671
beomi/Llama-3-KoEn-8B,only_npi_licensor_present,0.936
beomi/Llama-3-KoEn-8B,only_npi_scope,0.637
beomi/Llama-3-KoEn-8B,passive_1,0.817
beomi/Llama-3-KoEn-8B,passive_2,0.777
beomi/Llama-3-KoEn-8B,principle_A_c_command,0.801
beomi/Llama-3-KoEn-8B,principle_A_case_1,1.0
beomi/Llama-3-KoEn-8B,principle_A_case_2,0.878
beomi/Llama-3-KoEn-8B,principle_A_domain_1,0.998
beomi/Llama-3-KoEn-8B,principle_A_domain_2,0.856
beomi/Llama-3-KoEn-8B,principle_A_domain_3,0.675
beomi/Llama-3-KoEn-8B,principle_A_reconstruction,0.527
beomi/Llama-3-KoEn-8B,regular_plural_subject_verb_agreement_1,0.94
beomi/Llama-3-KoEn-8B,regular_plural_subject_verb_agreement_2,0.919
beomi/Llama-3-KoEn-8B,sentential_negation_npi_licensor_present,0.995
beomi/Llama-3-KoEn-8B,sentential_negation_npi_scope,0.774
beomi/Llama-3-KoEn-8B,sentential_subject_island,0.402
beomi/Llama-3-KoEn-8B,superlative_quantifiers_1,0.782
beomi/Llama-3-KoEn-8B,superlative_quantifiers_2,0.877
beomi/Llama-3-KoEn-8B,tough_vs_raising_1,0.763
beomi/Llama-3-KoEn-8B,tough_vs_raising_2,0.795
beomi/Llama-3-KoEn-8B,transitive,0.785
beomi/Llama-3-KoEn-8B,wh_island,0.732
beomi/Llama-3-KoEn-8B,wh_questions_object_gap,0.823
beomi/Llama-3-KoEn-8B,wh_questions_subject_gap,0.926
beomi/Llama-3-KoEn-8B,wh_questions_subject_gap_long_distance,0.904
beomi/Llama-3-KoEn-8B,wh_vs_that_no_gap,0.973
beomi/Llama-3-KoEn-8B,wh_vs_that_no_gap_long_distance,0.952
beomi/Llama-3-KoEn-8B,wh_vs_that_with_gap,0.455
beomi/Llama-3-KoEn-8B,wh_vs_that_with_gap_long_distance,0.389
