Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.862
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.981
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.986
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.719
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.749
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.727
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.592
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.728
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.809
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.947
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.966
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.802
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.917
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.916
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.812
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.9
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.92
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.715
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.631
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.507
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.75
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.946
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.772
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.954
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.156
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.868
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.77
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.697
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.615
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.964
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.84
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.851
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.803
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.632
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.832
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.351
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.584
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.667
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.658
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.482
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.714
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.707
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.704
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.889
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.993
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.76
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.619
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.456
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.915
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.863
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.985
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.545
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.454
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.835
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.802
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.764
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.765
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.741
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.765
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.8
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.903
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.891
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.956
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.954
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.341
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.287
