Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.869
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.981
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.993
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.731
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.76
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.732
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.592
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.721
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.851
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.951
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.977
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.818
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.938
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.931
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.81
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.923
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.918
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.754
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.708
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.513
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.768
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.945
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.791
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.963
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.202
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.875
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.801
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.71
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.629
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.984
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.87
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.879
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.837
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.652
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.849
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.374
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.647
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.726
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.752
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.519
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.772
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.734
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.794
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.915
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.995
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.82
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.64
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.384
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.931
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.891
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.995
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.649
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.454
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.852
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.793
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.74
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.829
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.748
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.759
