Model,Task,Accuracy
ReBatch/Llama-3-8B-dutch,adjunct_island,0.894
ReBatch/Llama-3-8B-dutch,anaphor_gender_agreement,0.991
ReBatch/Llama-3-8B-dutch,anaphor_number_agreement,0.995
ReBatch/Llama-3-8B-dutch,animate_subject_passive,0.74
ReBatch/Llama-3-8B-dutch,animate_subject_trans,0.802
ReBatch/Llama-3-8B-dutch,causative,0.785
ReBatch/Llama-3-8B-dutch,complex_NP_island,0.68
ReBatch/Llama-3-8B-dutch,coordinate_structure_constraint_complex_left_branch,0.946
ReBatch/Llama-3-8B-dutch,coordinate_structure_constraint_object_extraction,0.852
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_1,0.959
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_2,0.991
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_irregular_1,0.833
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_irregular_2,0.966
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_with_adj_2,0.964
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_with_adj_irregular_1,0.84
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_with_adj_irregular_2,0.953
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_with_adjective_1,0.926
ReBatch/Llama-3-8B-dutch,distractor_agreement_relational_noun,0.868
ReBatch/Llama-3-8B-dutch,distractor_agreement_relative_clause,0.755
ReBatch/Llama-3-8B-dutch,drop_argument,0.543
ReBatch/Llama-3-8B-dutch,ellipsis_n_bar_1,0.817
ReBatch/Llama-3-8B-dutch,ellipsis_n_bar_2,0.957
ReBatch/Llama-3-8B-dutch,existential_there_object_raising,0.752
ReBatch/Llama-3-8B-dutch,existential_there_quantifiers_1,0.99
ReBatch/Llama-3-8B-dutch,existential_there_quantifiers_2,0.887
ReBatch/Llama-3-8B-dutch,existential_there_subject_raising,0.866
ReBatch/Llama-3-8B-dutch,expletive_it_object_raising,0.828
ReBatch/Llama-3-8B-dutch,inchoative,0.738
ReBatch/Llama-3-8B-dutch,intransitive,0.671
ReBatch/Llama-3-8B-dutch,irregular_past_participle_adjectives,0.906
ReBatch/Llama-3-8B-dutch,irregular_past_participle_verbs,0.798
ReBatch/Llama-3-8B-dutch,irregular_plural_subject_verb_agreement_1,0.881
ReBatch/Llama-3-8B-dutch,irregular_plural_subject_verb_agreement_2,0.863
ReBatch/Llama-3-8B-dutch,left_branch_island_echo_question,0.762
ReBatch/Llama-3-8B-dutch,left_branch_island_simple_question,0.988
ReBatch/Llama-3-8B-dutch,matrix_question_npi_licensor_present,0.739
ReBatch/Llama-3-8B-dutch,npi_present_1,0.643
ReBatch/Llama-3-8B-dutch,npi_present_2,0.725
ReBatch/Llama-3-8B-dutch,only_npi_licensor_present,0.967
ReBatch/Llama-3-8B-dutch,only_npi_scope,0.765
ReBatch/Llama-3-8B-dutch,passive_1,0.784
ReBatch/Llama-3-8B-dutch,passive_2,0.769
ReBatch/Llama-3-8B-dutch,principle_A_c_command,0.817
ReBatch/Llama-3-8B-dutch,principle_A_case_1,1.0
ReBatch/Llama-3-8B-dutch,principle_A_case_2,0.908
ReBatch/Llama-3-8B-dutch,principle_A_domain_1,0.993
ReBatch/Llama-3-8B-dutch,principle_A_domain_2,0.89
ReBatch/Llama-3-8B-dutch,principle_A_domain_3,0.686
ReBatch/Llama-3-8B-dutch,principle_A_reconstruction,0.433
ReBatch/Llama-3-8B-dutch,regular_plural_subject_verb_agreement_1,0.925
ReBatch/Llama-3-8B-dutch,regular_plural_subject_verb_agreement_2,0.956
ReBatch/Llama-3-8B-dutch,sentential_negation_npi_licensor_present,0.995
ReBatch/Llama-3-8B-dutch,sentential_negation_npi_scope,0.753
ReBatch/Llama-3-8B-dutch,sentential_subject_island,0.507
ReBatch/Llama-3-8B-dutch,superlative_quantifiers_1,0.907
ReBatch/Llama-3-8B-dutch,superlative_quantifiers_2,0.83
ReBatch/Llama-3-8B-dutch,tough_vs_raising_1,0.754
ReBatch/Llama-3-8B-dutch,tough_vs_raising_2,0.831
ReBatch/Llama-3-8B-dutch,transitive,0.79
ReBatch/Llama-3-8B-dutch,wh_island,0.81
ReBatch/Llama-3-8B-dutch,wh_questions_object_gap,0.828
ReBatch/Llama-3-8B-dutch,wh_questions_subject_gap,0.917
ReBatch/Llama-3-8B-dutch,wh_questions_subject_gap_long_distance,0.883
ReBatch/Llama-3-8B-dutch,wh_vs_that_no_gap,0.982
ReBatch/Llama-3-8B-dutch,wh_vs_that_no_gap_long_distance,0.969
ReBatch/Llama-3-8B-dutch,wh_vs_that_with_gap,0.436
ReBatch/Llama-3-8B-dutch,wh_vs_that_with_gap_long_distance,0.366
