Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.872
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.972
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.982
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.708
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.686
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.707
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.635
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.603
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.876
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.815
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.792
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.666
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.763
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.736
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.71
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.735
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.823
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.523
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.516
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.438
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.689
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.939
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.708
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.961
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.146
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.783
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.69
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.55
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.511
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.923
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.823
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.71
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.561
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.638
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.84
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.244
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.591
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.662
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.359
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.394
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.727
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.626
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.762
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.848
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.959
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.675
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.617
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.567
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.803
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.703
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.956
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.6
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.431
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.91
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.804
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.7
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.647
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.738
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.597
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.871
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.901
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.887
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.917
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.938
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.364
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.285
