Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.891
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.986
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.992
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.728
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.726
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.727
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.629
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.737
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.825
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.943
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.974
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.812
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.93
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.922
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.796
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.909
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.923
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.681
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.599
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.488
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.799
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.957
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.743
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.954
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.188
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.856
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.738
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.692
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.614
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.978
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.839
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.855
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.804
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.669
