Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.831
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.966
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.976
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.691
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.783
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.697
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.591
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.744
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.734
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.933
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.894
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.756
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.875
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.839
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.787
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.81
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.902
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.712
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.646
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.469
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.771
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.83
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.747
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.936
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.704
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.82
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.669
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.693
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.601
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.804
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.785
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.845
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.814
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.668
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.835
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.484
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.419
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.569
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.643
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.38
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.618
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.62
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.671
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.862
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.993
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.683
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.593
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.462
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.89
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.841
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.975
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.624
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.385
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.744
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.725
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.671
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.81
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.669
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.74
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.762
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.842
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.821
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.923
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.922
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.291
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.249
