Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.883
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.983
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.994
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.727
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.734
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.705
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.581
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.736
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.838
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.953
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.983
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.82
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.95
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.946
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.825
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.928
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.926
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.776
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.689
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.528
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.805
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.947
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.769
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.953
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.219
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.867
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.77
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.709
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.628
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.986
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.859
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.885
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.831
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.632
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.856
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.396
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.616
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.694
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.711
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.481
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.765
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.742
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.742
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.911
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.989
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.769
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.641
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.401
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.928
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.898
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.991
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.643
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.45
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.879
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.807
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.738
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.819
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.753
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.736
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.813
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.93
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.921
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.974
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.968
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.316
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.271
