Model,Task,Accuracy
ReBatch/Llama-3-8B-dutch,adjunct_island,0.891
ReBatch/Llama-3-8B-dutch,anaphor_gender_agreement,0.991
ReBatch/Llama-3-8B-dutch,anaphor_number_agreement,0.996
ReBatch/Llama-3-8B-dutch,animate_subject_passive,0.745
ReBatch/Llama-3-8B-dutch,animate_subject_trans,0.801
ReBatch/Llama-3-8B-dutch,causative,0.783
ReBatch/Llama-3-8B-dutch,complex_NP_island,0.682
ReBatch/Llama-3-8B-dutch,coordinate_structure_constraint_complex_left_branch,0.942
ReBatch/Llama-3-8B-dutch,coordinate_structure_constraint_object_extraction,0.856
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_1,0.959
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_2,0.992
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_irregular_1,0.832
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_irregular_2,0.968
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_with_adj_2,0.964
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_with_adj_irregular_1,0.842
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_with_adj_irregular_2,0.955
ReBatch/Llama-3-8B-dutch,determiner_noun_agreement_with_adjective_1,0.929
ReBatch/Llama-3-8B-dutch,distractor_agreement_relational_noun,0.858
ReBatch/Llama-3-8B-dutch,distractor_agreement_relative_clause,0.748
ReBatch/Llama-3-8B-dutch,drop_argument,0.536
ReBatch/Llama-3-8B-dutch,ellipsis_n_bar_1,0.823
ReBatch/Llama-3-8B-dutch,ellipsis_n_bar_2,0.954
ReBatch/Llama-3-8B-dutch,existential_there_object_raising,0.755
ReBatch/Llama-3-8B-dutch,existential_there_quantifiers_1,0.988
ReBatch/Llama-3-8B-dutch,existential_there_quantifiers_2,0.891
ReBatch/Llama-3-8B-dutch,existential_there_subject_raising,0.866
ReBatch/Llama-3-8B-dutch,expletive_it_object_raising,0.829
ReBatch/Llama-3-8B-dutch,inchoative,0.735
ReBatch/Llama-3-8B-dutch,intransitive,0.666
ReBatch/Llama-3-8B-dutch,irregular_past_participle_adjectives,0.898
ReBatch/Llama-3-8B-dutch,irregular_past_participle_verbs,0.791
ReBatch/Llama-3-8B-dutch,irregular_plural_subject_verb_agreement_1,0.881
ReBatch/Llama-3-8B-dutch,irregular_plural_subject_verb_agreement_2,0.863
ReBatch/Llama-3-8B-dutch,left_branch_island_echo_question,0.763
ReBatch/Llama-3-8B-dutch,left_branch_island_simple_question,0.987
ReBatch/Llama-3-8B-dutch,matrix_question_npi_licensor_present,0.734
ReBatch/Llama-3-8B-dutch,npi_present_1,0.64
ReBatch/Llama-3-8B-dutch,npi_present_2,0.727
ReBatch/Llama-3-8B-dutch,only_npi_licensor_present,0.966
ReBatch/Llama-3-8B-dutch,only_npi_scope,0.76
ReBatch/Llama-3-8B-dutch,passive_1,0.788
ReBatch/Llama-3-8B-dutch,passive_2,0.768
ReBatch/Llama-3-8B-dutch,principle_A_c_command,0.816
ReBatch/Llama-3-8B-dutch,principle_A_case_1,1.0
ReBatch/Llama-3-8B-dutch,principle_A_case_2,0.904
ReBatch/Llama-3-8B-dutch,principle_A_domain_1,0.993
ReBatch/Llama-3-8B-dutch,principle_A_domain_2,0.897
ReBatch/Llama-3-8B-dutch,principle_A_domain_3,0.691
ReBatch/Llama-3-8B-dutch,principle_A_reconstruction,0.445
ReBatch/Llama-3-8B-dutch,regular_plural_subject_verb_agreement_1,0.925
ReBatch/Llama-3-8B-dutch,regular_plural_subject_verb_agreement_2,0.956
ReBatch/Llama-3-8B-dutch,sentential_negation_npi_licensor_present,0.995
ReBatch/Llama-3-8B-dutch,sentential_negation_npi_scope,0.747
ReBatch/Llama-3-8B-dutch,sentential_subject_island,0.518
ReBatch/Llama-3-8B-dutch,superlative_quantifiers_1,0.903
ReBatch/Llama-3-8B-dutch,superlative_quantifiers_2,0.828
ReBatch/Llama-3-8B-dutch,tough_vs_raising_1,0.753
ReBatch/Llama-3-8B-dutch,tough_vs_raising_2,0.825
ReBatch/Llama-3-8B-dutch,transitive,0.79
ReBatch/Llama-3-8B-dutch,wh_island,0.815
ReBatch/Llama-3-8B-dutch,wh_questions_object_gap,0.828
ReBatch/Llama-3-8B-dutch,wh_questions_subject_gap,0.92
ReBatch/Llama-3-8B-dutch,wh_questions_subject_gap_long_distance,0.882
ReBatch/Llama-3-8B-dutch,wh_vs_that_no_gap,0.982
ReBatch/Llama-3-8B-dutch,wh_vs_that_no_gap_long_distance,0.969
ReBatch/Llama-3-8B-dutch,wh_vs_that_with_gap,0.43
ReBatch/Llama-3-8B-dutch,wh_vs_that_with_gap_long_distance,0.355
