Model,Task,Accuracy
DeepMount00/Llama-3-8b-Ita,adjunct_island,0.841
DeepMount00/Llama-3-8b-Ita,anaphor_gender_agreement,0.978
DeepMount00/Llama-3-8b-Ita,anaphor_number_agreement,0.98
DeepMount00/Llama-3-8b-Ita,animate_subject_passive,0.715
DeepMount00/Llama-3-8b-Ita,animate_subject_trans,0.664
DeepMount00/Llama-3-8b-Ita,causative,0.707
DeepMount00/Llama-3-8b-Ita,complex_NP_island,0.602
DeepMount00/Llama-3-8b-Ita,coordinate_structure_constraint_complex_left_branch,0.909
DeepMount00/Llama-3-8b-Ita,coordinate_structure_constraint_object_extraction,0.842
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_1,0.949
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_2,0.964
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_irregular_1,0.813
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_irregular_2,0.925
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_with_adj_2,0.923
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_with_adj_irregular_1,0.811
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_with_adj_irregular_2,0.881
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_with_adjective_1,0.925
DeepMount00/Llama-3-8b-Ita,distractor_agreement_relational_noun,0.77
DeepMount00/Llama-3-8b-Ita,distractor_agreement_relative_clause,0.613
DeepMount00/Llama-3-8b-Ita,drop_argument,0.491
DeepMount00/Llama-3-8b-Ita,ellipsis_n_bar_1,0.813
DeepMount00/Llama-3-8b-Ita,ellipsis_n_bar_2,0.924
DeepMount00/Llama-3-8b-Ita,existential_there_object_raising,0.662
DeepMount00/Llama-3-8b-Ita,existential_there_quantifiers_1,0.99
DeepMount00/Llama-3-8b-Ita,existential_there_quantifiers_2,0.809
DeepMount00/Llama-3-8b-Ita,existential_there_subject_raising,0.772
DeepMount00/Llama-3-8b-Ita,expletive_it_object_raising,0.736
DeepMount00/Llama-3-8b-Ita,inchoative,0.643
DeepMount00/Llama-3-8b-Ita,intransitive,0.59
DeepMount00/Llama-3-8b-Ita,irregular_past_participle_adjectives,0.786
DeepMount00/Llama-3-8b-Ita,irregular_past_participle_verbs,0.658
DeepMount00/Llama-3-8b-Ita,irregular_plural_subject_verb_agreement_1,0.823
DeepMount00/Llama-3-8b-Ita,irregular_plural_subject_verb_agreement_2,0.761
DeepMount00/Llama-3-8b-Ita,left_branch_island_echo_question,0.762
DeepMount00/Llama-3-8b-Ita,left_branch_island_simple_question,0.963
DeepMount00/Llama-3-8b-Ita,matrix_question_npi_licensor_present,0.734
DeepMount00/Llama-3-8b-Ita,npi_present_1,0.543
DeepMount00/Llama-3-8b-Ita,npi_present_2,0.535
DeepMount00/Llama-3-8b-Ita,only_npi_licensor_present,0.931
DeepMount00/Llama-3-8b-Ita,only_npi_scope,0.803
DeepMount00/Llama-3-8b-Ita,passive_1,0.663
DeepMount00/Llama-3-8b-Ita,passive_2,0.72
DeepMount00/Llama-3-8b-Ita,principle_A_c_command,0.706
DeepMount00/Llama-3-8b-Ita,principle_A_case_1,0.996
DeepMount00/Llama-3-8b-Ita,principle_A_case_2,0.753
DeepMount00/Llama-3-8b-Ita,principle_A_domain_1,0.983
DeepMount00/Llama-3-8b-Ita,principle_A_domain_2,0.806
DeepMount00/Llama-3-8b-Ita,principle_A_domain_3,0.57
DeepMount00/Llama-3-8b-Ita,principle_A_reconstruction,0.657
DeepMount00/Llama-3-8b-Ita,regular_plural_subject_verb_agreement_1,0.8
DeepMount00/Llama-3-8b-Ita,regular_plural_subject_verb_agreement_2,0.857
DeepMount00/Llama-3-8b-Ita,sentential_negation_npi_licensor_present,0.997
DeepMount00/Llama-3-8b-Ita,sentential_negation_npi_scope,0.615
DeepMount00/Llama-3-8b-Ita,sentential_subject_island,0.48
DeepMount00/Llama-3-8b-Ita,superlative_quantifiers_1,0.901
DeepMount00/Llama-3-8b-Ita,superlative_quantifiers_2,0.679
DeepMount00/Llama-3-8b-Ita,tough_vs_raising_1,0.679
DeepMount00/Llama-3-8b-Ita,tough_vs_raising_2,0.799
DeepMount00/Llama-3-8b-Ita,transitive,0.768
DeepMount00/Llama-3-8b-Ita,wh_island,0.732
DeepMount00/Llama-3-8b-Ita,wh_questions_object_gap,0.844
DeepMount00/Llama-3-8b-Ita,wh_questions_subject_gap,0.866
DeepMount00/Llama-3-8b-Ita,wh_questions_subject_gap_long_distance,0.821
DeepMount00/Llama-3-8b-Ita,wh_vs_that_no_gap,0.963
DeepMount00/Llama-3-8b-Ita,wh_vs_that_no_gap_long_distance,0.914
DeepMount00/Llama-3-8b-Ita,wh_vs_that_with_gap,0.246
DeepMount00/Llama-3-8b-Ita,wh_vs_that_with_gap_long_distance,0.276
