Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,island effects,0.9090909090909091
tokyotech-llm/Llama-3-Swallow-8B-v0.1,binding,0.3076923076923077
tokyotech-llm/Llama-3-Swallow-8B-v0.1,argument structure,0.9
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis,0.7368421052631579
tokyotech-llm/Llama-3-Swallow-8B-v0.1,verbal agreement,0.5409836065573771
tokyotech-llm/Llama-3-Swallow-8B-v0.1,filler-gap,0.5555555555555556
tokyotech-llm/Llama-3-Swallow-8B-v0.1,morphology,0.7714285714285715
tokyotech-llm/Llama-3-Swallow-8B-v0.1,nominal structure,0.8695652173913043
tokyotech-llm/Llama-3-Swallow-8B-v0.1,quantifiers,0.8571428571428571
tokyotech-llm/Llama-3-Swallow-8B-v0.1,NPI licensing,0.25
tokyotech-llm/Llama-3-Swallow-8B-v0.1,control/raising,0.5
