Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.886
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.982
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.991
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.736
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.753
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.73
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.607
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.778
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.841
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.95
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.983
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.815
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.942
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.942
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.823
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.93
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.929
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.763
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.666
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.507
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.794
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.955
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.789
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.961
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.162
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.863
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.804
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.705
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.622
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.982
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.856
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.871
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.825
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.671
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.862
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.354
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.647
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.727
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.68
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.498
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.765
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.736
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.758
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.901
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.994
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.8
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.638
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.389
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.929
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.874
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.988
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.67
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.44
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.869
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.814
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.767
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.811
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.755
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.76
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.852
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.934
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.908
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.978
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.968
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.307
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.261
