Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,island effects,0.9090909090909091
tokyotech-llm/Llama-3-Swallow-8B-v0.1,binding,0.5384615384615384
tokyotech-llm/Llama-3-Swallow-8B-v0.1,argument structure,0.8571428571428571
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis,0.7894736842105263
tokyotech-llm/Llama-3-Swallow-8B-v0.1,verbal agreement,0.5081967213114754
tokyotech-llm/Llama-3-Swallow-8B-v0.1,filler-gap,0.6666666666666666
tokyotech-llm/Llama-3-Swallow-8B-v0.1,morphology,0.7428571428571429
tokyotech-llm/Llama-3-Swallow-8B-v0.1,nominal structure,0.9565217391304348
tokyotech-llm/Llama-3-Swallow-8B-v0.1,quantifiers,0.7857142857142857
tokyotech-llm/Llama-3-Swallow-8B-v0.1,NPI licensing,0.5
tokyotech-llm/Llama-3-Swallow-8B-v0.1,control/raising,0.5
