Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,island effects,0.6363636363636364
tokyotech-llm/Llama-3-Swallow-8B-v0.1,binding,0.38461538461538464
tokyotech-llm/Llama-3-Swallow-8B-v0.1,argument structure,0.8857142857142857
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis,0.631578947368421
tokyotech-llm/Llama-3-Swallow-8B-v0.1,verbal agreement,0.5737704918032787
tokyotech-llm/Llama-3-Swallow-8B-v0.1,filler-gap,0.5555555555555556
tokyotech-llm/Llama-3-Swallow-8B-v0.1,morphology,0.8285714285714286
tokyotech-llm/Llama-3-Swallow-8B-v0.1,nominal structure,0.8695652173913043
tokyotech-llm/Llama-3-Swallow-8B-v0.1,quantifiers,0.7142857142857143
tokyotech-llm/Llama-3-Swallow-8B-v0.1,NPI licensing,0.25
tokyotech-llm/Llama-3-Swallow-8B-v0.1,control/raising,0.5
