Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.882
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.982
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.99
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.728
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.753
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.724
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.582
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.758
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.85
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.941
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.966
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.782
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.937
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.923
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.798
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.898
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.917
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.727
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.662
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.49
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.76
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.957
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.76
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.948
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.127
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.844
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.758
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.674
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.583
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.985
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.875
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.878
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.806
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.625
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.876
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.347
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.678
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.713
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.709
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.467
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.751
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.731
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.781
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.883
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.998
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.797
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.651
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.426
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.925
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.854
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.994
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.637
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.451
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.847
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.797
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.747
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.77
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.747
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.538
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.841
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.931
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.906
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.975
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.974
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.289
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.247
