Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,island effects,0.7272727272727273
tokyotech-llm/Llama-3-Swallow-8B-v0.1,binding,0.6153846153846154
tokyotech-llm/Llama-3-Swallow-8B-v0.1,argument structure,0.8571428571428571
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis,0.8421052631578947
tokyotech-llm/Llama-3-Swallow-8B-v0.1,verbal agreement,0.6885245901639344
tokyotech-llm/Llama-3-Swallow-8B-v0.1,filler-gap,0.5555555555555556
tokyotech-llm/Llama-3-Swallow-8B-v0.1,morphology,0.8
tokyotech-llm/Llama-3-Swallow-8B-v0.1,nominal structure,0.9565217391304348
tokyotech-llm/Llama-3-Swallow-8B-v0.1,quantifiers,0.7857142857142857
tokyotech-llm/Llama-3-Swallow-8B-v0.1,NPI licensing,0.5
tokyotech-llm/Llama-3-Swallow-8B-v0.1,control/raising,0.0
