Model,Task,Accuracy
beomi/Llama-3-KoEn-8B,adjunct_island,0.909
beomi/Llama-3-KoEn-8B,anaphor_gender_agreement,0.996
beomi/Llama-3-KoEn-8B,anaphor_number_agreement,0.996
beomi/Llama-3-KoEn-8B,animate_subject_passive,0.732
beomi/Llama-3-KoEn-8B,animate_subject_trans,0.779
beomi/Llama-3-KoEn-8B,causative,0.779
beomi/Llama-3-KoEn-8B,complex_NP_island,0.58
beomi/Llama-3-KoEn-8B,coordinate_structure_constraint_complex_left_branch,0.728
beomi/Llama-3-KoEn-8B,coordinate_structure_constraint_object_extraction,0.884
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_1,0.962
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_2,0.989
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_irregular_1,0.849
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_irregular_2,0.947
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_2,0.959
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_irregular_1,0.843
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_irregular_2,0.913
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adjective_1,0.929
beomi/Llama-3-KoEn-8B,distractor_agreement_relational_noun,0.822
beomi/Llama-3-KoEn-8B,distractor_agreement_relative_clause,0.692
beomi/Llama-3-KoEn-8B,drop_argument,0.564
beomi/Llama-3-KoEn-8B,ellipsis_n_bar_1,0.815
beomi/Llama-3-KoEn-8B,ellipsis_n_bar_2,0.956
beomi/Llama-3-KoEn-8B,existential_there_object_raising,0.767
beomi/Llama-3-KoEn-8B,existential_there_quantifiers_1,0.977
beomi/Llama-3-KoEn-8B,existential_there_quantifiers_2,0.198
beomi/Llama-3-KoEn-8B,existential_there_subject_raising,0.895
beomi/Llama-3-KoEn-8B,expletive_it_object_raising,0.788
beomi/Llama-3-KoEn-8B,inchoative,0.753
beomi/Llama-3-KoEn-8B,intransitive,0.681
beomi/Llama-3-KoEn-8B,irregular_past_participle_adjectives,0.973
beomi/Llama-3-KoEn-8B,irregular_past_participle_verbs,0.912
beomi/Llama-3-KoEn-8B,irregular_plural_subject_verb_agreement_1,0.892
beomi/Llama-3-KoEn-8B,irregular_plural_subject_verb_agreement_2,0.843
beomi/Llama-3-KoEn-8B,left_branch_island_echo_question,0.606
beomi/Llama-3-KoEn-8B,left_branch_island_simple_question,0.869
beomi/Llama-3-KoEn-8B,matrix_question_npi_licensor_present,0.445
beomi/Llama-3-KoEn-8B,npi_present_1,0.551
beomi/Llama-3-KoEn-8B,npi_present_2,0.664
beomi/Llama-3-KoEn-8B,only_npi_licensor_present,0.932
beomi/Llama-3-KoEn-8B,only_npi_scope,0.63
beomi/Llama-3-KoEn-8B,passive_1,0.802
beomi/Llama-3-KoEn-8B,passive_2,0.771
beomi/Llama-3-KoEn-8B,principle_A_c_command,0.786
beomi/Llama-3-KoEn-8B,principle_A_case_1,1.0
beomi/Llama-3-KoEn-8B,principle_A_case_2,0.882
beomi/Llama-3-KoEn-8B,principle_A_domain_1,0.997
beomi/Llama-3-KoEn-8B,principle_A_domain_2,0.857
beomi/Llama-3-KoEn-8B,principle_A_domain_3,0.676
beomi/Llama-3-KoEn-8B,principle_A_reconstruction,0.552
beomi/Llama-3-KoEn-8B,regular_plural_subject_verb_agreement_1,0.932
beomi/Llama-3-KoEn-8B,regular_plural_subject_verb_agreement_2,0.921
beomi/Llama-3-KoEn-8B,sentential_negation_npi_licensor_present,0.996
beomi/Llama-3-KoEn-8B,sentential_negation_npi_scope,0.776
beomi/Llama-3-KoEn-8B,sentential_subject_island,0.412
beomi/Llama-3-KoEn-8B,superlative_quantifiers_1,0.762
beomi/Llama-3-KoEn-8B,superlative_quantifiers_2,0.869
beomi/Llama-3-KoEn-8B,tough_vs_raising_1,0.778
beomi/Llama-3-KoEn-8B,tough_vs_raising_2,0.789
beomi/Llama-3-KoEn-8B,transitive,0.788
beomi/Llama-3-KoEn-8B,wh_island,0.741
beomi/Llama-3-KoEn-8B,wh_questions_object_gap,0.835
beomi/Llama-3-KoEn-8B,wh_questions_subject_gap,0.928
beomi/Llama-3-KoEn-8B,wh_questions_subject_gap_long_distance,0.892
beomi/Llama-3-KoEn-8B,wh_vs_that_no_gap,0.968
beomi/Llama-3-KoEn-8B,wh_vs_that_no_gap_long_distance,0.951
beomi/Llama-3-KoEn-8B,wh_vs_that_with_gap,0.438
beomi/Llama-3-KoEn-8B,wh_vs_that_with_gap_long_distance,0.389
