Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.875
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.987
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.992
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.683
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.735
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.698
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.641
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.654
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.855
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.903
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.842
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.737
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.821
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.824
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.759
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.794
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.892
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.606
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.534
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.458
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.769
