Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,island effects,0.6363636363636364
tokyotech-llm/Llama-3-Swallow-8B-v0.1,binding,0.3076923076923077
tokyotech-llm/Llama-3-Swallow-8B-v0.1,argument structure,0.7714285714285715
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis,0.7368421052631579
tokyotech-llm/Llama-3-Swallow-8B-v0.1,verbal agreement,0.47540983606557374
tokyotech-llm/Llama-3-Swallow-8B-v0.1,filler-gap,0.6666666666666666
tokyotech-llm/Llama-3-Swallow-8B-v0.1,morphology,0.5714285714285714
tokyotech-llm/Llama-3-Swallow-8B-v0.1,nominal structure,0.8695652173913043
tokyotech-llm/Llama-3-Swallow-8B-v0.1,quantifiers,0.7857142857142857
tokyotech-llm/Llama-3-Swallow-8B-v0.1,NPI licensing,0.5
tokyotech-llm/Llama-3-Swallow-8B-v0.1,control/raising,0.0
