Model,Task,Accuracy
gpt2,adjunct_island,0.395
gpt2,anaphor_gender_agreement,0.959
gpt2,anaphor_number_agreement,0.995
gpt2,animate_subject_passive,0.627
gpt2,animate_subject_trans,0.348
gpt2,causative,0.564
gpt2,complex_NP_island,0.548
gpt2,coordinate_structure_constraint_complex_left_branch,0.755
gpt2,coordinate_structure_constraint_object_extraction,0.133
gpt2,determiner_noun_agreement_1,0.356
gpt2,determiner_noun_agreement_2,0.429
gpt2,determiner_noun_agreement_irregular_1,0.345
gpt2,determiner_noun_agreement_irregular_2,0.49
gpt2,determiner_noun_agreement_with_adj_2,0.452
gpt2,determiner_noun_agreement_with_adj_irregular_1,0.452
gpt2,determiner_noun_agreement_with_adj_irregular_2,0.501
gpt2,determiner_noun_agreement_with_adjective_1,0.458
gpt2,distractor_agreement_relational_noun,0.55
gpt2,distractor_agreement_relative_clause,0.588
gpt2,drop_argument,0.429
gpt2,ellipsis_n_bar_1,0.454
gpt2,ellipsis_n_bar_2,0.467
gpt2,existential_there_object_raising,0.323
gpt2,existential_there_quantifiers_1,0.656
gpt2,existential_there_quantifiers_2,0.84
gpt2,existential_there_subject_raising,0.536
gpt2,expletive_it_object_raising,0.467
gpt2,inchoative,0.343
gpt2,intransitive,0.297
gpt2,irregular_past_participle_adjectives,0.379
gpt2,irregular_past_participle_verbs,0.122
gpt2,irregular_plural_subject_verb_agreement_1,0.496
gpt2,irregular_plural_subject_verb_agreement_2,0.417
gpt2,left_branch_island_echo_question,0.349
gpt2,left_branch_island_simple_question,0.664
gpt2,matrix_question_npi_licensor_present,0.769
gpt2,npi_present_1,0.238
gpt2,npi_present_2,0.118
gpt2,only_npi_licensor_present,0.466
gpt2,only_npi_scope,0.336
gpt2,passive_1,0.565
gpt2,passive_2,0.624
gpt2,principle_A_c_command,0.929
gpt2,principle_A_case_1,0.272
gpt2,principle_A_case_2,0.444
gpt2,principle_A_domain_1,0.942
gpt2,principle_A_domain_2,0.491
gpt2,principle_A_domain_3,0.554
