Model,Task,Accuracy
rinna/japanese-gpt2-small,adjunct_island,0.32
rinna/japanese-gpt2-small,anaphor_gender_agreement,0.754
rinna/japanese-gpt2-small,anaphor_number_agreement,0.546
rinna/japanese-gpt2-small,animate_subject_passive,0.508
rinna/japanese-gpt2-small,animate_subject_trans,0.562
rinna/japanese-gpt2-small,causative,0.607
rinna/japanese-gpt2-small,complex_NP_island,0.355
rinna/japanese-gpt2-small,coordinate_structure_constraint_complex_left_branch,0.802
rinna/japanese-gpt2-small,coordinate_structure_constraint_object_extraction,0.393
rinna/japanese-gpt2-small,determiner_noun_agreement_1,0.501
rinna/japanese-gpt2-small,determiner_noun_agreement_2,0.493
rinna/japanese-gpt2-small,determiner_noun_agreement_irregular_1,0.512
rinna/japanese-gpt2-small,determiner_noun_agreement_irregular_2,0.462
rinna/japanese-gpt2-small,determiner_noun_agreement_with_adj_2,0.516
rinna/japanese-gpt2-small,determiner_noun_agreement_with_adj_irregular_1,0.526
rinna/japanese-gpt2-small,determiner_noun_agreement_with_adj_irregular_2,0.482
rinna/japanese-gpt2-small,determiner_noun_agreement_with_adjective_1,0.54
rinna/japanese-gpt2-small,distractor_agreement_relational_noun,0.501
rinna/japanese-gpt2-small,distractor_agreement_relative_clause,0.511
rinna/japanese-gpt2-small,drop_argument,0.514
rinna/japanese-gpt2-small,ellipsis_n_bar_1,0.388
rinna/japanese-gpt2-small,ellipsis_n_bar_2,0.266
rinna/japanese-gpt2-small,existential_there_object_raising,0.381
rinna/japanese-gpt2-small,existential_there_quantifiers_1,0.814
rinna/japanese-gpt2-small,existential_there_quantifiers_2,0.71
rinna/japanese-gpt2-small,existential_there_subject_raising,0.586
rinna/japanese-gpt2-small,expletive_it_object_raising,0.42
rinna/japanese-gpt2-small,inchoative,0.609
rinna/japanese-gpt2-small,intransitive,0.575
rinna/japanese-gpt2-small,irregular_past_participle_adjectives,0.355
rinna/japanese-gpt2-small,irregular_past_participle_verbs,0.605
rinna/japanese-gpt2-small,irregular_plural_subject_verb_agreement_1,0.472
rinna/japanese-gpt2-small,irregular_plural_subject_verb_agreement_2,0.557
rinna/japanese-gpt2-small,left_branch_island_echo_question,0.141
rinna/japanese-gpt2-small,left_branch_island_simple_question,0.665
rinna/japanese-gpt2-small,matrix_question_npi_licensor_present,0.552
rinna/japanese-gpt2-small,npi_present_1,0.113
rinna/japanese-gpt2-small,npi_present_2,0.168
rinna/japanese-gpt2-small,only_npi_licensor_present,0.866
rinna/japanese-gpt2-small,only_npi_scope,0.873
rinna/japanese-gpt2-small,passive_1,0.56
rinna/japanese-gpt2-small,passive_2,0.561
rinna/japanese-gpt2-small,principle_A_c_command,0.392
rinna/japanese-gpt2-small,principle_A_case_1,0.886
rinna/japanese-gpt2-small,principle_A_case_2,0.278
rinna/japanese-gpt2-small,principle_A_domain_1,0.964
rinna/japanese-gpt2-small,principle_A_domain_2,0.45
rinna/japanese-gpt2-small,principle_A_domain_3,0.512
rinna/japanese-gpt2-small,principle_A_reconstruction,0.729
rinna/japanese-gpt2-small,regular_plural_subject_verb_agreement_1,0.562
rinna/japanese-gpt2-small,regular_plural_subject_verb_agreement_2,0.5
rinna/japanese-gpt2-small,sentential_negation_npi_licensor_present,0.951
rinna/japanese-gpt2-small,sentential_negation_npi_scope,0.635
rinna/japanese-gpt2-small,sentential_subject_island,0.716
rinna/japanese-gpt2-small,superlative_quantifiers_1,0.333
rinna/japanese-gpt2-small,superlative_quantifiers_2,0.53
rinna/japanese-gpt2-small,tough_vs_raising_1,0.363
rinna/japanese-gpt2-small,tough_vs_raising_2,0.643
rinna/japanese-gpt2-small,transitive,0.493
rinna/japanese-gpt2-small,wh_island,0.872
rinna/japanese-gpt2-small,wh_questions_object_gap,0.223
rinna/japanese-gpt2-small,wh_questions_subject_gap,0.227
rinna/japanese-gpt2-small,wh_questions_subject_gap_long_distance,0.417
rinna/japanese-gpt2-small,wh_vs_that_no_gap,0.347
rinna/japanese-gpt2-small,wh_vs_that_no_gap_long_distance,0.453
rinna/japanese-gpt2-small,wh_vs_that_with_gap,0.617
rinna/japanese-gpt2-small,wh_vs_that_with_gap_long_distance,0.515
