Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,island effects,0.7272727272727273
tokyotech-llm/Llama-3-Swallow-8B-v0.1,binding,0.6923076923076923
tokyotech-llm/Llama-3-Swallow-8B-v0.1,argument structure,0.8857142857142857
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis,0.7368421052631579
tokyotech-llm/Llama-3-Swallow-8B-v0.1,verbal agreement,0.5901639344262295
tokyotech-llm/Llama-3-Swallow-8B-v0.1,filler-gap,0.5555555555555556
tokyotech-llm/Llama-3-Swallow-8B-v0.1,morphology,0.9142857142857143
tokyotech-llm/Llama-3-Swallow-8B-v0.1,nominal structure,0.9565217391304348
tokyotech-llm/Llama-3-Swallow-8B-v0.1,quantifiers,0.6428571428571429
tokyotech-llm/Llama-3-Swallow-8B-v0.1,NPI licensing,0.5
tokyotech-llm/Llama-3-Swallow-8B-v0.1,control/raising,0.5
