Model,Task,Accuracy
meta-llama/Meta-Llama-3-8B,adjunct_island,0.178
meta-llama/Meta-Llama-3-8B,anaphor_gender_agreement,0.547
meta-llama/Meta-Llama-3-8B,anaphor_number_agreement,0.645
meta-llama/Meta-Llama-3-8B,animate_subject_passive,0.606
meta-llama/Meta-Llama-3-8B,animate_subject_trans,0.169
meta-llama/Meta-Llama-3-8B,causative,0.376
meta-llama/Meta-Llama-3-8B,complex_NP_island,0.474
meta-llama/Meta-Llama-3-8B,coordinate_structure_constraint_complex_left_branch,0.215
meta-llama/Meta-Llama-3-8B,coordinate_structure_constraint_object_extraction,0.106
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_1,0.379
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_2,0.454
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_irregular_1,0.367
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_irregular_2,0.46
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_with_adj_2,0.473
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_with_adj_irregular_1,0.358
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_with_adj_irregular_2,0.48
meta-llama/Meta-Llama-3-8B,determiner_noun_agreement_with_adjective_1,0.456
meta-llama/Meta-Llama-3-8B,distractor_agreement_relational_noun,0.191
meta-llama/Meta-Llama-3-8B,distractor_agreement_relative_clause,0.342
meta-llama/Meta-Llama-3-8B,drop_argument,0.337
meta-llama/Meta-Llama-3-8B,ellipsis_n_bar_1,0.573
meta-llama/Meta-Llama-3-8B,ellipsis_n_bar_2,0.501
meta-llama/Meta-Llama-3-8B,existential_there_object_raising,0.164
meta-llama/Meta-Llama-3-8B,existential_there_quantifiers_1,0.074
meta-llama/Meta-Llama-3-8B,existential_there_quantifiers_2,0.806
meta-llama/Meta-Llama-3-8B,existential_there_subject_raising,0.149
meta-llama/Meta-Llama-3-8B,expletive_it_object_raising,0.19
meta-llama/Meta-Llama-3-8B,inchoative,0.337
meta-llama/Meta-Llama-3-8B,intransitive,0.318
meta-llama/Meta-Llama-3-8B,irregular_past_participle_adjectives,0.047
meta-llama/Meta-Llama-3-8B,irregular_past_participle_verbs,0.107
meta-llama/Meta-Llama-3-8B,irregular_plural_subject_verb_agreement_1,0.151
meta-llama/Meta-Llama-3-8B,irregular_plural_subject_verb_agreement_2,0.144
meta-llama/Meta-Llama-3-8B,left_branch_island_echo_question,0.15
meta-llama/Meta-Llama-3-8B,left_branch_island_simple_question,0.254
meta-llama/Meta-Llama-3-8B,matrix_question_npi_licensor_present,0.211
meta-llama/Meta-Llama-3-8B,npi_present_1,0.197
meta-llama/Meta-Llama-3-8B,npi_present_2,0.051
meta-llama/Meta-Llama-3-8B,only_npi_licensor_present,0.294
meta-llama/Meta-Llama-3-8B,only_npi_scope,0.548
meta-llama/Meta-Llama-3-8B,passive_1,0.25
meta-llama/Meta-Llama-3-8B,passive_2,0.389
meta-llama/Meta-Llama-3-8B,principle_A_c_command,0.849
meta-llama/Meta-Llama-3-8B,principle_A_case_1,0.006
meta-llama/Meta-Llama-3-8B,principle_A_case_2,0.13
meta-llama/Meta-Llama-3-8B,principle_A_domain_1,0.569
meta-llama/Meta-Llama-3-8B,principle_A_domain_2,0.054
meta-llama/Meta-Llama-3-8B,principle_A_domain_3,0.321
meta-llama/Meta-Llama-3-8B,principle_A_reconstruction,0.343
meta-llama/Meta-Llama-3-8B,regular_plural_subject_verb_agreement_1,0.092
meta-llama/Meta-Llama-3-8B,regular_plural_subject_verb_agreement_2,0.157
meta-llama/Meta-Llama-3-8B,sentential_negation_npi_licensor_present,0.321
meta-llama/Meta-Llama-3-8B,sentential_negation_npi_scope,0.249
meta-llama/Meta-Llama-3-8B,sentential_subject_island,0.37
meta-llama/Meta-Llama-3-8B,superlative_quantifiers_1,0.447
meta-llama/Meta-Llama-3-8B,superlative_quantifiers_2,0.246
meta-llama/Meta-Llama-3-8B,tough_vs_raising_1,0.492
meta-llama/Meta-Llama-3-8B,tough_vs_raising_2,0.222
meta-llama/Meta-Llama-3-8B,transitive,0.463
meta-llama/Meta-Llama-3-8B,wh_island,0.253
meta-llama/Meta-Llama-3-8B,wh_questions_object_gap,0.52
meta-llama/Meta-Llama-3-8B,wh_questions_subject_gap,0.373
meta-llama/Meta-Llama-3-8B,wh_questions_subject_gap_long_distance,0.462
meta-llama/Meta-Llama-3-8B,wh_vs_that_no_gap,0.445
meta-llama/Meta-Llama-3-8B,wh_vs_that_no_gap_long_distance,0.386
meta-llama/Meta-Llama-3-8B,wh_vs_that_with_gap,0.392
meta-llama/Meta-Llama-3-8B,wh_vs_that_with_gap_long_distance,0.511
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.175
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.738
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.852
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.598
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.118
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.424
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.444
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.266
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.115
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.449
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.463
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.393
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.489
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.474
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.416
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.506
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.502
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.251
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.372
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.373
