Model,Task,Accuracy
beomi/Llama-3-KoEn-8B,adjunct_island,0.918
beomi/Llama-3-KoEn-8B,anaphor_gender_agreement,0.993
beomi/Llama-3-KoEn-8B,anaphor_number_agreement,0.994
beomi/Llama-3-KoEn-8B,animate_subject_passive,0.701
beomi/Llama-3-KoEn-8B,animate_subject_trans,0.772
beomi/Llama-3-KoEn-8B,causative,0.781
beomi/Llama-3-KoEn-8B,complex_NP_island,0.634
beomi/Llama-3-KoEn-8B,coordinate_structure_constraint_complex_left_branch,0.719
beomi/Llama-3-KoEn-8B,coordinate_structure_constraint_object_extraction,0.88
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_1,0.951
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_2,0.929
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_irregular_1,0.83
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_irregular_2,0.876
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_2,0.897
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_irregular_1,0.83
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_irregular_2,0.852
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adjective_1,0.917
beomi/Llama-3-KoEn-8B,distractor_agreement_relational_noun,0.693
beomi/Llama-3-KoEn-8B,distractor_agreement_relative_clause,0.544
beomi/Llama-3-KoEn-8B,drop_argument,0.519
beomi/Llama-3-KoEn-8B,ellipsis_n_bar_1,0.816
beomi/Llama-3-KoEn-8B,ellipsis_n_bar_2,0.952
beomi/Llama-3-KoEn-8B,existential_there_object_raising,0.698
beomi/Llama-3-KoEn-8B,existential_there_quantifiers_1,0.968
beomi/Llama-3-KoEn-8B,existential_there_quantifiers_2,0.191
beomi/Llama-3-KoEn-8B,existential_there_subject_raising,0.887
beomi/Llama-3-KoEn-8B,expletive_it_object_raising,0.722
beomi/Llama-3-KoEn-8B,inchoative,0.691
beomi/Llama-3-KoEn-8B,intransitive,0.608
beomi/Llama-3-KoEn-8B,irregular_past_participle_adjectives,0.973
beomi/Llama-3-KoEn-8B,irregular_past_participle_verbs,0.854
beomi/Llama-3-KoEn-8B,irregular_plural_subject_verb_agreement_1,0.828
beomi/Llama-3-KoEn-8B,irregular_plural_subject_verb_agreement_2,0.765
beomi/Llama-3-KoEn-8B,left_branch_island_echo_question,0.634
beomi/Llama-3-KoEn-8B,left_branch_island_simple_question,0.845
beomi/Llama-3-KoEn-8B,matrix_question_npi_licensor_present,0.332
beomi/Llama-3-KoEn-8B,npi_present_1,0.543
beomi/Llama-3-KoEn-8B,npi_present_2,0.606
beomi/Llama-3-KoEn-8B,only_npi_licensor_present,0.884
beomi/Llama-3-KoEn-8B,only_npi_scope,0.542
beomi/Llama-3-KoEn-8B,passive_1,0.763
beomi/Llama-3-KoEn-8B,passive_2,0.748
beomi/Llama-3-KoEn-8B,principle_A_c_command,0.749
beomi/Llama-3-KoEn-8B,principle_A_case_1,0.999
beomi/Llama-3-KoEn-8B,principle_A_case_2,0.86
beomi/Llama-3-KoEn-8B,principle_A_domain_1,0.995
beomi/Llama-3-KoEn-8B,principle_A_domain_2,0.764
beomi/Llama-3-KoEn-8B,principle_A_domain_3,0.64
beomi/Llama-3-KoEn-8B,principle_A_reconstruction,0.523
beomi/Llama-3-KoEn-8B,regular_plural_subject_verb_agreement_1,0.89
beomi/Llama-3-KoEn-8B,regular_plural_subject_verb_agreement_2,0.83
beomi/Llama-3-KoEn-8B,sentential_negation_npi_licensor_present,0.966
beomi/Llama-3-KoEn-8B,sentential_negation_npi_scope,0.694
beomi/Llama-3-KoEn-8B,sentential_subject_island,0.382
beomi/Llama-3-KoEn-8B,superlative_quantifiers_1,0.788
beomi/Llama-3-KoEn-8B,superlative_quantifiers_2,0.839
beomi/Llama-3-KoEn-8B,tough_vs_raising_1,0.73
beomi/Llama-3-KoEn-8B,tough_vs_raising_2,0.808
beomi/Llama-3-KoEn-8B,transitive,0.779
beomi/Llama-3-KoEn-8B,wh_island,0.7
beomi/Llama-3-KoEn-8B,wh_questions_object_gap,0.86
beomi/Llama-3-KoEn-8B,wh_questions_subject_gap,0.941
beomi/Llama-3-KoEn-8B,wh_questions_subject_gap_long_distance,0.887
beomi/Llama-3-KoEn-8B,wh_vs_that_no_gap,0.971
beomi/Llama-3-KoEn-8B,wh_vs_that_no_gap_long_distance,0.956
beomi/Llama-3-KoEn-8B,wh_vs_that_with_gap,0.308
beomi/Llama-3-KoEn-8B,wh_vs_that_with_gap_long_distance,0.284
