Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.853
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.977
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.985
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.671
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.742
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.717
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.569
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.724
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.776
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.935
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.936
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.757
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.895
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.863
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.786
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.849
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.896
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.743
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.688
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.495
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.826
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.842
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.733
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.959
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.722
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.779
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.65
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.704
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.63
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.835
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.785
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.87
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.82
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.739
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.869
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.442
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.548
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.683
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.712
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.443
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.629
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.645
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.744
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.862
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.998
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.735
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.606
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.58
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.918
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.872
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.987
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.726
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.409
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.779
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.926
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.733
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.787
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.657
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.773
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.821
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.866
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.858
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.946
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.94
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.355
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.282
