Model,Task,Accuracy
DeepMount00/Llama-3-8b-Ita,adjunct_island,0.795
DeepMount00/Llama-3-8b-Ita,anaphor_gender_agreement,0.963
DeepMount00/Llama-3-8b-Ita,anaphor_number_agreement,0.965
DeepMount00/Llama-3-8b-Ita,animate_subject_passive,0.636
DeepMount00/Llama-3-8b-Ita,animate_subject_trans,0.634
DeepMount00/Llama-3-8b-Ita,causative,0.64
DeepMount00/Llama-3-8b-Ita,complex_NP_island,0.573
DeepMount00/Llama-3-8b-Ita,coordinate_structure_constraint_complex_left_branch,0.83
DeepMount00/Llama-3-8b-Ita,coordinate_structure_constraint_object_extraction,0.816
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_1,0.903
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_2,0.899
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_irregular_1,0.739
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_irregular_2,0.867
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_with_adj_2,0.853
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_with_adj_irregular_1,0.77
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_with_adj_irregular_2,0.844
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_with_adjective_1,0.886
DeepMount00/Llama-3-8b-Ita,distractor_agreement_relational_noun,0.704
DeepMount00/Llama-3-8b-Ita,distractor_agreement_relative_clause,0.647
DeepMount00/Llama-3-8b-Ita,drop_argument,0.374
DeepMount00/Llama-3-8b-Ita,ellipsis_n_bar_1,0.795
DeepMount00/Llama-3-8b-Ita,ellipsis_n_bar_2,0.74
DeepMount00/Llama-3-8b-Ita,existential_there_object_raising,0.608
DeepMount00/Llama-3-8b-Ita,existential_there_quantifiers_1,0.946
DeepMount00/Llama-3-8b-Ita,existential_there_quantifiers_2,0.818
DeepMount00/Llama-3-8b-Ita,existential_there_subject_raising,0.698
DeepMount00/Llama-3-8b-Ita,expletive_it_object_raising,0.633
DeepMount00/Llama-3-8b-Ita,inchoative,0.599
DeepMount00/Llama-3-8b-Ita,intransitive,0.506
DeepMount00/Llama-3-8b-Ita,irregular_past_participle_adjectives,0.56
DeepMount00/Llama-3-8b-Ita,irregular_past_participle_verbs,0.548
DeepMount00/Llama-3-8b-Ita,irregular_plural_subject_verb_agreement_1,0.831
DeepMount00/Llama-3-8b-Ita,irregular_plural_subject_verb_agreement_2,0.724
DeepMount00/Llama-3-8b-Ita,left_branch_island_echo_question,0.821
DeepMount00/Llama-3-8b-Ita,left_branch_island_simple_question,0.916
DeepMount00/Llama-3-8b-Ita,matrix_question_npi_licensor_present,0.798
DeepMount00/Llama-3-8b-Ita,npi_present_1,0.447
DeepMount00/Llama-3-8b-Ita,npi_present_2,0.443
DeepMount00/Llama-3-8b-Ita,only_npi_licensor_present,0.851
DeepMount00/Llama-3-8b-Ita,only_npi_scope,0.66
DeepMount00/Llama-3-8b-Ita,passive_1,0.515
DeepMount00/Llama-3-8b-Ita,passive_2,0.598
DeepMount00/Llama-3-8b-Ita,principle_A_c_command,0.689
DeepMount00/Llama-3-8b-Ita,principle_A_case_1,0.986
DeepMount00/Llama-3-8b-Ita,principle_A_case_2,0.698
DeepMount00/Llama-3-8b-Ita,principle_A_domain_1,0.99
DeepMount00/Llama-3-8b-Ita,principle_A_domain_2,0.726
DeepMount00/Llama-3-8b-Ita,principle_A_domain_3,0.573
DeepMount00/Llama-3-8b-Ita,principle_A_reconstruction,0.646
DeepMount00/Llama-3-8b-Ita,regular_plural_subject_verb_agreement_1,0.711
DeepMount00/Llama-3-8b-Ita,regular_plural_subject_verb_agreement_2,0.807
DeepMount00/Llama-3-8b-Ita,sentential_negation_npi_licensor_present,0.995
DeepMount00/Llama-3-8b-Ita,sentential_negation_npi_scope,0.689
DeepMount00/Llama-3-8b-Ita,sentential_subject_island,0.445
DeepMount00/Llama-3-8b-Ita,superlative_quantifiers_1,0.865
DeepMount00/Llama-3-8b-Ita,superlative_quantifiers_2,0.665
DeepMount00/Llama-3-8b-Ita,tough_vs_raising_1,0.617
DeepMount00/Llama-3-8b-Ita,tough_vs_raising_2,0.785
DeepMount00/Llama-3-8b-Ita,transitive,0.665
DeepMount00/Llama-3-8b-Ita,wh_island,0.742
DeepMount00/Llama-3-8b-Ita,wh_questions_object_gap,0.801
DeepMount00/Llama-3-8b-Ita,wh_questions_subject_gap,0.789
DeepMount00/Llama-3-8b-Ita,wh_questions_subject_gap_long_distance,0.723
DeepMount00/Llama-3-8b-Ita,wh_vs_that_no_gap,0.925
DeepMount00/Llama-3-8b-Ita,wh_vs_that_no_gap_long_distance,0.904
DeepMount00/Llama-3-8b-Ita,wh_vs_that_with_gap,0.141
DeepMount00/Llama-3-8b-Ita,wh_vs_that_with_gap_long_distance,0.21
