Model,Task,Accuracy
beomi/Llama-3-KoEn-8B,adjunct_island,0.904
beomi/Llama-3-KoEn-8B,anaphor_gender_agreement,0.986
beomi/Llama-3-KoEn-8B,anaphor_number_agreement,0.986
beomi/Llama-3-KoEn-8B,animate_subject_passive,0.684
beomi/Llama-3-KoEn-8B,animate_subject_trans,0.699
beomi/Llama-3-KoEn-8B,causative,0.788
beomi/Llama-3-KoEn-8B,complex_NP_island,0.65
beomi/Llama-3-KoEn-8B,coordinate_structure_constraint_complex_left_branch,0.711
beomi/Llama-3-KoEn-8B,coordinate_structure_constraint_object_extraction,0.904
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_1,0.935
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_2,0.891
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_irregular_1,0.808
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_irregular_2,0.856
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_2,0.857
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_irregular_1,0.788
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_irregular_2,0.83
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adjective_1,0.91
beomi/Llama-3-KoEn-8B,distractor_agreement_relational_noun,0.624
beomi/Llama-3-KoEn-8B,distractor_agreement_relative_clause,0.533
beomi/Llama-3-KoEn-8B,drop_argument,0.461
beomi/Llama-3-KoEn-8B,ellipsis_n_bar_1,0.772
beomi/Llama-3-KoEn-8B,ellipsis_n_bar_2,0.954
beomi/Llama-3-KoEn-8B,existential_there_object_raising,0.669
beomi/Llama-3-KoEn-8B,existential_there_quantifiers_1,0.984
beomi/Llama-3-KoEn-8B,existential_there_quantifiers_2,0.128
beomi/Llama-3-KoEn-8B,existential_there_subject_raising,0.866
beomi/Llama-3-KoEn-8B,expletive_it_object_raising,0.706
beomi/Llama-3-KoEn-8B,inchoative,0.681
beomi/Llama-3-KoEn-8B,intransitive,0.567
beomi/Llama-3-KoEn-8B,irregular_past_participle_adjectives,0.941
beomi/Llama-3-KoEn-8B,irregular_past_participle_verbs,0.82
beomi/Llama-3-KoEn-8B,irregular_plural_subject_verb_agreement_1,0.754
beomi/Llama-3-KoEn-8B,irregular_plural_subject_verb_agreement_2,0.701
beomi/Llama-3-KoEn-8B,left_branch_island_echo_question,0.59
beomi/Llama-3-KoEn-8B,left_branch_island_simple_question,0.847
beomi/Llama-3-KoEn-8B,matrix_question_npi_licensor_present,0.464
beomi/Llama-3-KoEn-8B,npi_present_1,0.592
beomi/Llama-3-KoEn-8B,npi_present_2,0.621
beomi/Llama-3-KoEn-8B,only_npi_licensor_present,0.832
beomi/Llama-3-KoEn-8B,only_npi_scope,0.519
beomi/Llama-3-KoEn-8B,passive_1,0.772
beomi/Llama-3-KoEn-8B,passive_2,0.67
beomi/Llama-3-KoEn-8B,principle_A_c_command,0.712
beomi/Llama-3-KoEn-8B,principle_A_case_1,0.999
beomi/Llama-3-KoEn-8B,principle_A_case_2,0.84
beomi/Llama-3-KoEn-8B,principle_A_domain_1,0.975
beomi/Llama-3-KoEn-8B,principle_A_domain_2,0.695
beomi/Llama-3-KoEn-8B,principle_A_domain_3,0.628
beomi/Llama-3-KoEn-8B,principle_A_reconstruction,0.592
beomi/Llama-3-KoEn-8B,regular_plural_subject_verb_agreement_1,0.832
beomi/Llama-3-KoEn-8B,regular_plural_subject_verb_agreement_2,0.768
beomi/Llama-3-KoEn-8B,sentential_negation_npi_licensor_present,0.925
beomi/Llama-3-KoEn-8B,sentential_negation_npi_scope,0.628
beomi/Llama-3-KoEn-8B,sentential_subject_island,0.368
beomi/Llama-3-KoEn-8B,superlative_quantifiers_1,0.756
beomi/Llama-3-KoEn-8B,superlative_quantifiers_2,0.782
beomi/Llama-3-KoEn-8B,tough_vs_raising_1,0.735
beomi/Llama-3-KoEn-8B,tough_vs_raising_2,0.786
beomi/Llama-3-KoEn-8B,transitive,0.762
beomi/Llama-3-KoEn-8B,wh_island,0.7
beomi/Llama-3-KoEn-8B,wh_questions_object_gap,0.859
beomi/Llama-3-KoEn-8B,wh_questions_subject_gap,0.923
beomi/Llama-3-KoEn-8B,wh_questions_subject_gap_long_distance,0.827
beomi/Llama-3-KoEn-8B,wh_vs_that_no_gap,0.964
beomi/Llama-3-KoEn-8B,wh_vs_that_no_gap_long_distance,0.938
beomi/Llama-3-KoEn-8B,wh_vs_that_with_gap,0.327
beomi/Llama-3-KoEn-8B,wh_vs_that_with_gap_long_distance,0.329
